day,num
1,1
2,1
3,1
4,3
5,3
6,3
7,3
8,4
9,4
10,6
11,6
12,7
13,7
14,8
15,8
16,10
17,12
18,17
19,26
20,27
21,29
22,31
23,31
24,35
25,40
26,40
27,74
28,74
29,97
30,120
31,219
32,386
33,386
34,445
35,503
36,532
37,532
38,669
39,720
40,903
41,1069
42,1154
43,1510
44,1561
45,1578
46,1640
47,1707
48,1893
49,2003
50,2081
51,2156
52,2248
53,2376
54,2514
55,2625
56,2918
57,3108
58,3314
59,3439
60,3515
61,3738
62,3848
63,4549
64,4898
65,5104
66,5104
67,5980
68,6318
69,6542
70,6923
71,7233
72,7639
73,7998
74,8470
75,8896
76,9333
77,9755
